Class,global_iou,global_dice,global_pixel_acc,total_gt_pixels,total_pred_pixels,pixel_diff,pixel_diff_ratio,mean_iou_per_image,std_iou_per_image,mean_dice_per_image,std_dice_per_image,mean_pixel_acc_per_image,num_images
finger-1,0.8808872507113679,0.9366720417486043,0.999754798412323,1295935,1302475,6540,0.005046549402554873,0.8795190108011726,0.02844411042296577,0.9356489063576598,0.016466766937129864,0.999754798412323,160
finger-2,0.921263682016092,0.9590184737675957,0.9996696397662163,2667248,2742531,75283,0.028224971956113464,0.9207751534793509,0.013077372919172211,0.9587054704721247,0.007085784508853664,0.9996696397662163,160
finger-3,0.9365590630367666,0.9672403810582726,0.9995721995830535,4359424,4404170,44746,0.010264200041106324,0.93618985720164,0.009860540495216938,0.9670166060568086,0.005270606909398883,0.9995721995830535,160
finger-4,0.8571376679573046,0.9230739139549994,0.9998124614357948,809390,826661,17271,0.021338291799997265,0.855723300285376,0.02859751473681189,0.9219957825496587,0.016701286874974405,0.9998124614357948,160
finger-5,0.9031407309152668,0.949105566650265,0.9997584387660027,1583050,1602151,19101,0.012065948643441382,0.9026283370764598,0.01767826704644462,0.9487314788038571,0.00980237268367109,0.9997584387660027,160
finger-6,0.9357701182752804,0.9668194683251198,0.9996514230966568,3483346,3566752,83406,0.023944219150207807,0.9353566517701172,0.009894875560783589,0.9665717117240685,0.005286875821346512,0.9996514230966568,160
finger-7,0.9379347622527809,0.9679735154370882,0.9994528204202652,5725471,5740227,14756,0.0025772552162084085,0.9375131853973413,0.012006476666368308,0.9677090200168017,0.0064457894989260085,0.9994528204202652,160
finger-8,0.8663498356528412,0.9283895431638578,0.9997957527637482,936205,977873,41668,0.04450734614747791,0.8652680906871865,0.035168184894755025,0.927363381203131,0.021504596371762323,0.9997957527637482,160
finger-9,0.9153322920626822,0.9557947682038314,0.9997335195541381,2001176,2044318,43142,0.021558323705660964,0.9148825308369372,0.014551248257967487,0.9554891633476567,0.007941519211650762,0.9997335195541381,160
finger-10,0.9384221542640502,0.9682330055914322,0.9996303111314774,3884589,3925215,40626,0.010458249251079046,0.9380114229574599,0.008402358354337084,0.9679949480286296,0.004472524397393214,0.9996303111314774,160
finger-11,0.9247274301970964,0.9608918288262793,0.9993861317634583,5216566,5317294,100728,0.019309254402225487,0.9244737525559664,0.015540040818184862,0.9606865127916968,0.008464377464876877,0.9993861317634583,160
finger-12,0.8651031711022804,0.927673261732757,0.9997949376702309,929016,973669,44653,0.048064834190153366,0.8631962022965416,0.02559114324499944,0.9263701316077115,0.014973501612046866,0.9997949376702309,160
finger-13,0.910437284591831,0.9531192590667513,0.9997505486011505,1774205,1796643,22438,0.01264679109798466,0.9096944571302927,0.016467618543515684,0.9526339654146456,0.009055363357217138,0.9997505486011505,160
finger-14,0.9305847614914079,0.9640444491776845,0.9996463283896446,3284232,3316835,32603,0.009927130604658838,0.9299816856561465,0.010463266444876235,0.9636902857471823,0.005616829077850497,0.9996463283896446,160
finger-15,0.9218691103743069,0.9593464043914643,0.99952712059021,3876595,3929455,52860,0.013635677701694365,0.9214547172243668,0.013874762901048344,0.9590669516151078,0.0076208338388145955,0.99952712059021,160
